Test Size,Random State,C,Penalty,Solver,Class Weight,Accuracy,Precision,Recall,Specificity
0.15,42,0.1,l1,liblinear,,0.56,0.6428571428571429,0.6,0.5
0.15,42,0.1,l1,liblinear,balanced,0.52,0.6363636363636364,0.4666666666666667,0.6
0.15,42,0.1,l2,liblinear,,0.72,0.7857142857142857,0.7333333333333333,0.7
0.15,42,0.1,l2,liblinear,balanced,0.72,0.8333333333333334,0.6666666666666666,0.8
0.15,42,1.0,l1,liblinear,,0.68,0.7333333333333333,0.7333333333333333,0.6
0.15,42,1.0,l1,liblinear,balanced,0.76,0.8461538461538461,0.7333333333333333,0.8
0.15,42,1.0,l2,liblinear,,0.64,0.6875,0.7333333333333333,0.5
0.15,42,1.0,l2,liblinear,balanced,0.72,0.7857142857142857,0.7333333333333333,0.7
0.15,42,10.0,l1,liblinear,,0.64,0.6875,0.7333333333333333,0.5
0.15,42,10.0,l1,liblinear,balanced,0.68,0.7333333333333333,0.7333333333333333,0.6
0.15,42,10.0,l2,liblinear,,0.64,0.6875,0.7333333333333333,0.5
0.15,42,10.0,l2,liblinear,balanced,0.68,0.7333333333333333,0.7333333333333333,0.6
0.15,42,100.0,l1,liblinear,,0.68,0.7058823529411765,0.8,0.5
0.15,42,100.0,l1,liblinear,balanced,0.68,0.7058823529411765,0.8,0.5
0.15,42,100.0,l2,liblinear,,0.68,0.7058823529411765,0.8,0.5
0.15,42,100.0,l2,liblinear,balanced,0.68,0.7058823529411765,0.8,0.5
0.15,42,1000.0,l1,liblinear,,0.68,0.7058823529411765,0.8,0.5
0.15,42,1000.0,l1,liblinear,balanced,0.68,0.7058823529411765,0.8,0.5
0.15,42,1000.0,l2,liblinear,,0.68,0.7058823529411765,0.8,0.5
0.15,42,1000.0,l2,liblinear,balanced,0.72,0.75,0.8,0.6
0.15,123,0.1,l1,liblinear,,0.76,0.7222222222222222,0.9285714285714286,0.5454545454545454
0.15,123,0.1,l1,liblinear,balanced,0.68,0.7142857142857143,0.7142857142857143,0.6363636363636364
0.15,123,0.1,l2,liblinear,,0.6,0.6,0.8571428571428571,0.2727272727272727
0.15,123,0.1,l2,liblinear,balanced,0.64,0.631578947368421,0.8571428571428571,0.36363636363636365
0.15,123,1.0,l1,liblinear,,0.52,0.55,0.7857142857142857,0.18181818181818182
0.15,123,1.0,l1,liblinear,balanced,0.64,0.6470588235294118,0.7857142857142857,0.45454545454545453
0.15,123,1.0,l2,liblinear,,0.56,0.5714285714285714,0.8571428571428571,0.18181818181818182
0.15,123,1.0,l2,liblinear,balanced,0.56,0.5789473684210527,0.7857142857142857,0.2727272727272727
0.15,123,10.0,l1,liblinear,,0.52,0.55,0.7857142857142857,0.18181818181818182
0.15,123,10.0,l1,liblinear,balanced,0.52,0.55,0.7857142857142857,0.18181818181818182
0.15,123,10.0,l2,liblinear,,0.56,0.5714285714285714,0.8571428571428571,0.18181818181818182
0.15,123,10.0,l2,liblinear,balanced,0.56,0.5714285714285714,0.8571428571428571,0.18181818181818182
0.15,123,100.0,l1,liblinear,,0.56,0.5714285714285714,0.8571428571428571,0.18181818181818182
0.15,123,100.0,l1,liblinear,balanced,0.56,0.5714285714285714,0.8571428571428571,0.18181818181818182
0.15,123,100.0,l2,liblinear,,0.56,0.5714285714285714,0.8571428571428571,0.18181818181818182
0.15,123,100.0,l2,liblinear,balanced,0.56,0.5714285714285714,0.8571428571428571,0.18181818181818182
0.15,123,1000.0,l1,liblinear,,0.52,0.55,0.7857142857142857,0.18181818181818182
0.15,123,1000.0,l1,liblinear,balanced,0.52,0.55,0.7857142857142857,0.18181818181818182
0.15,123,1000.0,l2,liblinear,,0.56,0.5714285714285714,0.8571428571428571,0.18181818181818182
0.15,123,1000.0,l2,liblinear,balanced,0.56,0.5714285714285714,0.8571428571428571,0.18181818181818182
0.15,456,0.1,l1,liblinear,,0.72,0.5882352941176471,1.0,0.5333333333333333
0.15,456,0.1,l1,liblinear,balanced,0.6,0.5,0.5,0.6666666666666666
0.15,456,0.1,l2,liblinear,,0.64,0.5333333333333333,0.8,0.5333333333333333
0.15,456,0.1,l2,liblinear,balanced,0.64,0.5384615384615384,0.7,0.6
0.15,456,1.0,l1,liblinear,,0.72,0.6,0.9,0.6
0.15,456,1.0,l1,liblinear,balanced,0.72,0.6153846153846154,0.8,0.6666666666666666
0.15,456,1.0,l2,liblinear,,0.72,0.6,0.9,0.6
0.15,456,1.0,l2,liblinear,balanced,0.68,0.5714285714285714,0.8,0.6
0.15,456,10.0,l1,liblinear,,0.64,0.5333333333333333,0.8,0.5333333333333333
0.15,456,10.0,l1,liblinear,balanced,0.68,0.5714285714285714,0.8,0.6
0.15,456,10.0,l2,liblinear,,0.64,0.5333333333333333,0.8,0.5333333333333333
0.15,456,10.0,l2,liblinear,balanced,0.68,0.5714285714285714,0.8,0.6
0.15,456,100.0,l1,liblinear,,0.6,0.5,0.7,0.5333333333333333
0.15,456,100.0,l1,liblinear,balanced,0.6,0.5,0.7,0.5333333333333333
0.15,456,100.0,l2,liblinear,,0.68,0.5625,0.9,0.5333333333333333
0.15,456,100.0,l2,liblinear,balanced,0.68,0.5714285714285714,0.8,0.6
0.15,456,1000.0,l1,liblinear,,0.6,0.5,0.7,0.5333333333333333
0.15,456,1000.0,l1,liblinear,balanced,0.6,0.5,0.7,0.5333333333333333
0.15,456,1000.0,l2,liblinear,,0.6,0.5,0.7,0.5333333333333333
0.15,456,1000.0,l2,liblinear,balanced,0.6,0.5,0.7,0.5333333333333333
0.15,89,0.1,l1,liblinear,,0.52,0.7142857142857143,0.5555555555555556,0.42857142857142855
0.15,89,0.1,l1,liblinear,balanced,0.52,0.75,0.5,0.5714285714285714
0.15,89,0.1,l2,liblinear,,0.64,0.7368421052631579,0.7777777777777778,0.2857142857142857
0.15,89,0.1,l2,liblinear,balanced,0.64,0.7647058823529411,0.7222222222222222,0.42857142857142855
0.15,89,1.0,l1,liblinear,,0.68,0.75,0.8333333333333334,0.2857142857142857
0.15,89,1.0,l1,liblinear,balanced,0.72,0.7894736842105263,0.8333333333333334,0.42857142857142855
0.15,89,1.0,l2,liblinear,,0.76,0.8333333333333334,0.8333333333333334,0.5714285714285714
0.15,89,1.0,l2,liblinear,balanced,0.76,0.8333333333333334,0.8333333333333334,0.5714285714285714
0.15,89,10.0,l1,liblinear,,0.68,0.75,0.8333333333333334,0.2857142857142857
0.15,89,10.0,l1,liblinear,balanced,0.68,0.75,0.8333333333333334,0.2857142857142857
0.15,89,10.0,l2,liblinear,,0.68,0.75,0.8333333333333334,0.2857142857142857
0.15,89,10.0,l2,liblinear,balanced,0.68,0.75,0.8333333333333334,0.2857142857142857
0.15,89,100.0,l1,liblinear,,0.64,0.7368421052631579,0.7777777777777778,0.2857142857142857
0.15,89,100.0,l1,liblinear,balanced,0.64,0.7368421052631579,0.7777777777777778,0.2857142857142857
0.15,89,100.0,l2,liblinear,,0.68,0.75,0.8333333333333334,0.2857142857142857
0.15,89,100.0,l2,liblinear,balanced,0.68,0.75,0.8333333333333334,0.2857142857142857
0.15,89,1000.0,l1,liblinear,,0.64,0.7368421052631579,0.7777777777777778,0.2857142857142857
0.15,89,1000.0,l1,liblinear,balanced,0.64,0.7368421052631579,0.7777777777777778,0.2857142857142857
0.15,89,1000.0,l2,liblinear,,0.68,0.75,0.8333333333333334,0.2857142857142857
0.15,89,1000.0,l2,liblinear,balanced,0.68,0.75,0.8333333333333334,0.2857142857142857
0.2,42,0.1,l1,liblinear,,0.6060606060606061,0.7333333333333333,0.55,0.6923076923076923
0.2,42,0.1,l1,liblinear,balanced,0.5151515151515151,0.6666666666666666,0.4,0.6923076923076923
0.2,42,0.1,l2,liblinear,,0.6666666666666666,0.7368421052631579,0.7,0.6153846153846154
0.2,42,0.1,l2,liblinear,balanced,0.696969696969697,0.8125,0.65,0.7692307692307693
0.2,42,1.0,l1,liblinear,,0.6060606060606061,0.6666666666666666,0.7,0.46153846153846156
0.2,42,1.0,l1,liblinear,balanced,0.696969696969697,0.7777777777777778,0.7,0.6923076923076923
0.2,42,1.0,l2,liblinear,,0.6060606060606061,0.6666666666666666,0.7,0.46153846153846156
0.2,42,1.0,l2,liblinear,balanced,0.696969696969697,0.7777777777777778,0.7,0.6923076923076923
0.2,42,10.0,l1,liblinear,,0.696969696969697,0.7272727272727273,0.8,0.5384615384615384
0.2,42,10.0,l1,liblinear,balanced,0.696969696969697,0.7272727272727273,0.8,0.5384615384615384
0.2,42,10.0,l2,liblinear,,0.6666666666666666,0.7142857142857143,0.75,0.5384615384615384
0.2,42,10.0,l2,liblinear,balanced,0.6666666666666666,0.7142857142857143,0.75,0.5384615384615384
0.2,42,100.0,l1,liblinear,,0.6666666666666666,0.7368421052631579,0.7,0.6153846153846154
0.2,42,100.0,l1,liblinear,balanced,0.6666666666666666,0.7368421052631579,0.7,0.6153846153846154
0.2,42,100.0,l2,liblinear,,0.7272727272727273,0.7619047619047619,0.8,0.6153846153846154
0.2,42,100.0,l2,liblinear,balanced,0.696969696969697,0.75,0.75,0.6153846153846154
0.2,42,1000.0,l1,liblinear,,0.696969696969697,0.75,0.75,0.6153846153846154
0.2,42,1000.0,l1,liblinear,balanced,0.696969696969697,0.75,0.75,0.6153846153846154
0.2,42,1000.0,l2,liblinear,,0.7272727272727273,0.7894736842105263,0.75,0.6923076923076923
0.2,42,1000.0,l2,liblinear,balanced,0.7272727272727273,0.7894736842105263,0.75,0.6923076923076923
0.2,123,0.1,l1,liblinear,,0.7575757575757576,0.7391304347826086,0.8947368421052632,0.5714285714285714
0.2,123,0.1,l1,liblinear,balanced,0.6666666666666666,0.7222222222222222,0.6842105263157895,0.6428571428571429
0.2,123,0.1,l2,liblinear,,0.696969696969697,0.7142857142857143,0.7894736842105263,0.5714285714285714
0.2,123,0.1,l2,liblinear,balanced,0.6363636363636364,0.6842105263157895,0.6842105263157895,0.5714285714285714
0.2,123,1.0,l1,liblinear,,0.6060606060606061,0.625,0.7894736842105263,0.35714285714285715
0.2,123,1.0,l1,liblinear,balanced,0.6666666666666666,0.6818181818181818,0.7894736842105263,0.5
0.2,123,1.0,l2,liblinear,,0.6060606060606061,0.6153846153846154,0.8421052631578947,0.2857142857142857
0.2,123,1.0,l2,liblinear,balanced,0.6363636363636364,0.64,0.8421052631578947,0.35714285714285715
0.2,123,10.0,l1,liblinear,,0.6060606060606061,0.625,0.7894736842105263,0.35714285714285715
0.2,123,10.0,l1,liblinear,balanced,0.6060606060606061,0.625,0.7894736842105263,0.35714285714285715
0.2,123,10.0,l2,liblinear,,0.6363636363636364,0.64,0.8421052631578947,0.35714285714285715
0.2,123,10.0,l2,liblinear,balanced,0.6363636363636364,0.64,0.8421052631578947,0.35714285714285715
0.2,123,100.0,l1,liblinear,,0.6060606060606061,0.625,0.7894736842105263,0.35714285714285715
0.2,123,100.0,l1,liblinear,balanced,0.6060606060606061,0.625,0.7894736842105263,0.35714285714285715
0.2,123,100.0,l2,liblinear,,0.6363636363636364,0.64,0.8421052631578947,0.35714285714285715
0.2,123,100.0,l2,liblinear,balanced,0.6363636363636364,0.64,0.8421052631578947,0.35714285714285715
0.2,123,1000.0,l1,liblinear,,0.6060606060606061,0.625,0.7894736842105263,0.35714285714285715
0.2,123,1000.0,l1,liblinear,balanced,0.6060606060606061,0.625,0.7894736842105263,0.35714285714285715
0.2,123,1000.0,l2,liblinear,,0.6363636363636364,0.64,0.8421052631578947,0.35714285714285715
0.2,123,1000.0,l2,liblinear,balanced,0.6363636363636364,0.64,0.8421052631578947,0.35714285714285715
0.2,456,0.1,l1,liblinear,,0.5454545454545454,0.4642857142857143,1.0,0.25
0.2,456,0.1,l1,liblinear,balanced,0.696969696969697,0.6,0.6923076923076923,0.7
0.2,456,0.1,l2,liblinear,,0.6666666666666666,0.55,0.8461538461538461,0.55
0.2,456,0.1,l2,liblinear,balanced,0.6666666666666666,0.5625,0.6923076923076923,0.65
0.2,456,1.0,l1,liblinear,,0.696969696969697,0.5652173913043478,1.0,0.5
0.2,456,1.0,l1,liblinear,balanced,0.696969696969697,0.5789473684210527,0.8461538461538461,0.6
0.2,456,1.0,l2,liblinear,,0.696969696969697,0.5714285714285714,0.9230769230769231,0.55
0.2,456,1.0,l2,liblinear,balanced,0.696969696969697,0.5882352941176471,0.7692307692307693,0.65
0.2,456,10.0,l1,liblinear,,0.6060606060606061,0.5,0.6923076923076923,0.55
0.2,456,10.0,l1,liblinear,balanced,0.6363636363636364,0.5294117647058824,0.6923076923076923,0.6
0.2,456,10.0,l2,liblinear,,0.6363636363636364,0.5263157894736842,0.7692307692307693,0.55
0.2,456,10.0,l2,liblinear,balanced,0.6363636363636364,0.5263157894736842,0.7692307692307693,0.55
0.2,456,100.0,l1,liblinear,,0.6363636363636364,0.5294117647058824,0.6923076923076923,0.6
0.2,456,100.0,l1,liblinear,balanced,0.6363636363636364,0.5294117647058824,0.6923076923076923,0.6
0.2,456,100.0,l2,liblinear,,0.6363636363636364,0.5294117647058824,0.6923076923076923,0.6
0.2,456,100.0,l2,liblinear,balanced,0.6363636363636364,0.5294117647058824,0.6923076923076923,0.6
0.2,456,1000.0,l1,liblinear,,0.6363636363636364,0.5294117647058824,0.6923076923076923,0.6
0.2,456,1000.0,l1,liblinear,balanced,0.6363636363636364,0.5294117647058824,0.6923076923076923,0.6
0.2,456,1000.0,l2,liblinear,,0.6363636363636364,0.5294117647058824,0.6923076923076923,0.6
0.2,456,1000.0,l2,liblinear,balanced,0.6363636363636364,0.5294117647058824,0.6923076923076923,0.6
0.2,89,0.1,l1,liblinear,,0.6060606060606061,0.7777777777777778,0.6086956521739131,0.6
0.2,89,0.1,l1,liblinear,balanced,0.5151515151515151,0.7333333333333333,0.4782608695652174,0.6
0.2,89,0.1,l2,liblinear,,0.6666666666666666,0.75,0.782608695652174,0.4
0.2,89,0.1,l2,liblinear,balanced,0.696969696969697,0.8095238095238095,0.7391304347826086,0.6
0.2,89,1.0,l1,liblinear,,0.7272727272727273,0.7916666666666666,0.8260869565217391,0.5
0.2,89,1.0,l1,liblinear,balanced,0.7272727272727273,0.7916666666666666,0.8260869565217391,0.5
0.2,89,1.0,l2,liblinear,,0.6666666666666666,0.7307692307692307,0.8260869565217391,0.3
0.2,89,1.0,l2,liblinear,balanced,0.7272727272727273,0.7916666666666666,0.8260869565217391,0.5
0.2,89,10.0,l1,liblinear,,0.6363636363636364,0.72,0.782608695652174,0.3
0.2,89,10.0,l1,liblinear,balanced,0.6363636363636364,0.72,0.782608695652174,0.3
0.2,89,10.0,l2,liblinear,,0.6363636363636364,0.72,0.782608695652174,0.3
0.2,89,10.0,l2,liblinear,balanced,0.6363636363636364,0.72,0.782608695652174,0.3
0.2,89,100.0,l1,liblinear,,0.6363636363636364,0.72,0.782608695652174,0.3
0.2,89,100.0,l1,liblinear,balanced,0.6363636363636364,0.72,0.782608695652174,0.3
0.2,89,100.0,l2,liblinear,,0.6060606060606061,0.7083333333333334,0.7391304347826086,0.3
0.2,89,100.0,l2,liblinear,balanced,0.6060606060606061,0.7083333333333334,0.7391304347826086,0.3
0.2,89,1000.0,l1,liblinear,,0.6363636363636364,0.72,0.782608695652174,0.3
0.2,89,1000.0,l1,liblinear,balanced,0.6363636363636364,0.72,0.782608695652174,0.3
0.2,89,1000.0,l2,liblinear,,0.6363636363636364,0.72,0.782608695652174,0.3
0.2,89,1000.0,l2,liblinear,balanced,0.6363636363636364,0.72,0.782608695652174,0.3
0.25,42,0.1,l1,liblinear,,0.5952380952380952,0.6818181818181818,0.6,0.5882352941176471
0.25,42,0.1,l1,liblinear,balanced,0.5714285714285714,0.6842105263157895,0.52,0.6470588235294118
0.25,42,0.1,l2,liblinear,,0.6666666666666666,0.7037037037037037,0.76,0.5294117647058824
0.25,42,0.1,l2,liblinear,balanced,0.6904761904761905,0.7727272727272727,0.68,0.7058823529411765
0.25,42,1.0,l1,liblinear,,0.6666666666666666,0.6896551724137931,0.8,0.47058823529411764
0.25,42,1.0,l1,liblinear,balanced,0.6904761904761905,0.7307692307692307,0.76,0.5882352941176471
0.25,42,1.0,l2,liblinear,,0.6904761904761905,0.7142857142857143,0.8,0.5294117647058824
0.25,42,1.0,l2,liblinear,balanced,0.6904761904761905,0.7307692307692307,0.76,0.5882352941176471
0.25,42,10.0,l1,liblinear,,0.6904761904761905,0.7142857142857143,0.8,0.5294117647058824
0.25,42,10.0,l1,liblinear,balanced,0.6904761904761905,0.7142857142857143,0.8,0.5294117647058824
0.25,42,10.0,l2,liblinear,,0.6666666666666666,0.6774193548387096,0.84,0.4117647058823529
0.25,42,10.0,l2,liblinear,balanced,0.6904761904761905,0.7142857142857143,0.8,0.5294117647058824
0.25,42,100.0,l1,liblinear,,0.6666666666666666,0.6896551724137931,0.8,0.47058823529411764
0.25,42,100.0,l1,liblinear,balanced,0.6666666666666666,0.6896551724137931,0.8,0.47058823529411764
0.25,42,100.0,l2,liblinear,,0.6666666666666666,0.7037037037037037,0.76,0.5294117647058824
0.25,42,100.0,l2,liblinear,balanced,0.6666666666666666,0.7037037037037037,0.76,0.5294117647058824
0.25,42,1000.0,l1,liblinear,,0.6666666666666666,0.6896551724137931,0.8,0.47058823529411764
0.25,42,1000.0,l1,liblinear,balanced,0.6666666666666666,0.6896551724137931,0.8,0.47058823529411764
0.25,42,1000.0,l2,liblinear,,0.6666666666666666,0.6896551724137931,0.8,0.47058823529411764
0.25,42,1000.0,l2,liblinear,balanced,0.6666666666666666,0.6896551724137931,0.8,0.47058823529411764
0.25,123,0.1,l1,liblinear,,0.6428571428571429,0.6428571428571429,0.782608695652174,0.47368421052631576
0.25,123,0.1,l1,liblinear,balanced,0.6190476190476191,0.6842105263157895,0.5652173913043478,0.6842105263157895
0.25,123,0.1,l2,liblinear,,0.6428571428571429,0.6428571428571429,0.782608695652174,0.47368421052631576
0.25,123,0.1,l2,liblinear,balanced,0.6666666666666666,0.68,0.7391304347826086,0.5789473684210527
0.25,123,1.0,l1,liblinear,,0.6190476190476191,0.6296296296296297,0.7391304347826086,0.47368421052631576
0.25,123,1.0,l1,liblinear,balanced,0.5952380952380952,0.6153846153846154,0.6956521739130435,0.47368421052631576
0.25,123,1.0,l2,liblinear,,0.6190476190476191,0.6129032258064516,0.8260869565217391,0.3684210526315789
0.25,123,1.0,l2,liblinear,balanced,0.6666666666666666,0.6551724137931034,0.8260869565217391,0.47368421052631576
0.25,123,10.0,l1,liblinear,,0.6190476190476191,0.6129032258064516,0.8260869565217391,0.3684210526315789
0.25,123,10.0,l1,liblinear,balanced,0.6190476190476191,0.6206896551724138,0.782608695652174,0.42105263157894735
0.25,123,10.0,l2,liblinear,,0.6428571428571429,0.625,0.8695652173913043,0.3684210526315789
0.25,123,10.0,l2,liblinear,balanced,0.6428571428571429,0.625,0.8695652173913043,0.3684210526315789
0.25,123,100.0,l1,liblinear,,0.6666666666666666,0.6551724137931034,0.8260869565217391,0.47368421052631576
0.25,123,100.0,l1,liblinear,balanced,0.6666666666666666,0.6551724137931034,0.8260869565217391,0.47368421052631576
0.25,123,100.0,l2,liblinear,,0.6428571428571429,0.625,0.8695652173913043,0.3684210526315789
0.25,123,100.0,l2,liblinear,balanced,0.6428571428571429,0.625,0.8695652173913043,0.3684210526315789
0.25,123,1000.0,l1,liblinear,,0.6904761904761905,0.6666666666666666,0.8695652173913043,0.47368421052631576
0.25,123,1000.0,l1,liblinear,balanced,0.6904761904761905,0.6666666666666666,0.8695652173913043,0.47368421052631576
0.25,123,1000.0,l2,liblinear,,0.6428571428571429,0.625,0.8695652173913043,0.3684210526315789
0.25,123,1000.0,l2,liblinear,balanced,0.6428571428571429,0.625,0.8695652173913043,0.3684210526315789
0.25,456,0.1,l1,liblinear,,0.5952380952380952,0.5142857142857142,1.0,0.2916666666666667
0.25,456,0.1,l1,liblinear,balanced,0.6904761904761905,0.631578947368421,0.6666666666666666,0.7083333333333334
0.25,456,0.1,l2,liblinear,,0.6904761904761905,0.6086956521739131,0.7777777777777778,0.625
0.25,456,0.1,l2,liblinear,balanced,0.7380952380952381,0.6666666666666666,0.7777777777777778,0.7083333333333334
0.25,456,1.0,l1,liblinear,,0.7380952380952381,0.6521739130434783,0.8333333333333334,0.6666666666666666
0.25,456,1.0,l1,liblinear,balanced,0.7380952380952381,0.6666666666666666,0.7777777777777778,0.7083333333333334
0.25,456,1.0,l2,liblinear,,0.7380952380952381,0.6521739130434783,0.8333333333333334,0.6666666666666666
0.25,456,1.0,l2,liblinear,balanced,0.7619047619047619,0.6818181818181818,0.8333333333333334,0.7083333333333334
0.25,456,10.0,l1,liblinear,,0.6904761904761905,0.6190476190476191,0.7222222222222222,0.6666666666666666
0.25,456,10.0,l1,liblinear,balanced,0.6904761904761905,0.6190476190476191,0.7222222222222222,0.6666666666666666
0.25,456,10.0,l2,liblinear,,0.6904761904761905,0.6190476190476191,0.7222222222222222,0.6666666666666666
0.25,456,10.0,l2,liblinear,balanced,0.6666666666666666,0.6,0.6666666666666666,0.6666666666666666
0.25,456,100.0,l1,liblinear,,0.6666666666666666,0.6,0.6666666666666666,0.6666666666666666
0.25,456,100.0,l1,liblinear,balanced,0.6666666666666666,0.6,0.6666666666666666,0.6666666666666666
0.25,456,100.0,l2,liblinear,,0.6428571428571429,0.5789473684210527,0.6111111111111112,0.6666666666666666
0.25,456,100.0,l2,liblinear,balanced,0.6428571428571429,0.5789473684210527,0.6111111111111112,0.6666666666666666
0.25,456,1000.0,l1,liblinear,,0.6666666666666666,0.6,0.6666666666666666,0.6666666666666666
0.25,456,1000.0,l1,liblinear,balanced,0.6666666666666666,0.6,0.6666666666666666,0.6666666666666666
0.25,456,1000.0,l2,liblinear,,0.6190476190476191,0.55,0.6111111111111112,0.625
0.25,456,1000.0,l2,liblinear,balanced,0.6190476190476191,0.55,0.6111111111111112,0.625
0.25,89,0.1,l1,liblinear,,0.6428571428571429,0.8260869565217391,0.6333333333333333,0.6666666666666666
0.25,89,0.1,l1,liblinear,balanced,0.6190476190476191,0.8181818181818182,0.6,0.6666666666666666
0.25,89,0.1,l2,liblinear,,0.7619047619047619,0.8333333333333334,0.8333333333333334,0.5833333333333334
0.25,89,0.1,l2,liblinear,balanced,0.7857142857142857,0.8620689655172413,0.8333333333333334,0.6666666666666666
0.25,89,1.0,l1,liblinear,,0.7857142857142857,0.8387096774193549,0.8666666666666667,0.5833333333333334
0.25,89,1.0,l1,liblinear,balanced,0.8095238095238095,0.8666666666666667,0.8666666666666667,0.6666666666666666
0.25,89,1.0,l2,liblinear,,0.7857142857142857,0.8387096774193549,0.8666666666666667,0.5833333333333334
0.25,89,1.0,l2,liblinear,balanced,0.8333333333333334,0.896551724137931,0.8666666666666667,0.75
0.25,89,10.0,l1,liblinear,,0.6904761904761905,0.7931034482758621,0.7666666666666667,0.5
0.25,89,10.0,l1,liblinear,balanced,0.6904761904761905,0.7931034482758621,0.7666666666666667,0.5
0.25,89,10.0,l2,liblinear,,0.6904761904761905,0.7931034482758621,0.7666666666666667,0.5
0.25,89,10.0,l2,liblinear,balanced,0.7142857142857143,0.8214285714285714,0.7666666666666667,0.5833333333333334
0.25,89,100.0,l1,liblinear,,0.6666666666666666,0.7857142857142857,0.7333333333333333,0.5
0.25,89,100.0,l1,liblinear,balanced,0.6666666666666666,0.7857142857142857,0.7333333333333333,0.5
0.25,89,100.0,l2,liblinear,,0.6666666666666666,0.7857142857142857,0.7333333333333333,0.5
0.25,89,100.0,l2,liblinear,balanced,0.6666666666666666,0.7857142857142857,0.7333333333333333,0.5
0.25,89,1000.0,l1,liblinear,,0.6666666666666666,0.7666666666666667,0.7666666666666667,0.4166666666666667
0.25,89,1000.0,l1,liblinear,balanced,0.6666666666666666,0.7666666666666667,0.7666666666666667,0.4166666666666667
0.25,89,1000.0,l2,liblinear,,0.6428571428571429,0.7586206896551724,0.7333333333333333,0.4166666666666667
0.25,89,1000.0,l2,liblinear,balanced,0.6428571428571429,0.7586206896551724,0.7333333333333333,0.4166666666666667
0.3,42,0.1,l1,liblinear,,0.64,0.6785714285714286,0.6785714285714286,0.5909090909090909
0.3,42,0.1,l1,liblinear,balanced,0.62,0.7142857142857143,0.5357142857142857,0.7272727272727273
0.3,42,0.1,l2,liblinear,,0.68,0.6875,0.7857142857142857,0.5454545454545454
0.3,42,0.1,l2,liblinear,balanced,0.7,0.7407407407407407,0.7142857142857143,0.6818181818181818
0.3,42,1.0,l1,liblinear,,0.68,0.6875,0.7857142857142857,0.5454545454545454
