Test Size,Random State,N_Estimators,Class Weight,Accuracy,Precision,Recall
0.15,42,10,,0.7714285714285715,0.865504773863907,0.7575163398692811
0.15,42,10,balanced,0.7357142857142857,0.8141176470588235,0.7346405228758169
0.15,42,50,,0.7285714285714286,0.7581704260651629,0.8274509803921569
0.15,42,50,balanced,0.7285714285714286,0.756672932330827,0.826797385620915
0.15,42,100,,0.7071428571428571,0.7471177944862155,0.8045751633986928
0.15,42,100,balanced,0.7357142857142858,0.7585779666557698,0.8496732026143791
0.15,42,200,,0.7214285714285715,0.7480952380952381,0.8392156862745098
0.15,42,200,balanced,0.7214285714285714,0.7461556064073227,0.8496732026143791
0.15,42,500,,0.7214285714285714,0.7560990712074304,0.8163398692810457
0.15,42,500,balanced,0.7357142857142858,0.7599791970043686,0.8496732026143791
0.15,123,10,,0.6428571428571429,0.730343137254902,0.6934640522875817
0.15,123,10,balanced,0.6428571428571429,0.7047353678313432,0.7366013071895425
0.15,123,50,,0.6857142857142857,0.7171717171717171,0.8294117647058824
0.15,123,50,balanced,0.65,0.6910279263220439,0.8058823529411765
0.15,123,100,,0.6714285714285715,0.714493620414673,0.807843137254902
0.15,123,100,balanced,0.6428571428571429,0.6811765018607124,0.8294117647058823
0.15,123,200,,0.6785714285714286,0.7164586658462011,0.819607843137255
0.15,123,200,balanced,0.6785714285714286,0.7006038647342995,0.8640522875816995
0.15,123,500,,0.6928571428571428,0.7221033479614715,0.8418300653594771
0.15,123,500,balanced,0.6785714285714286,0.7071592023537103,0.8411764705882352
0.15,456,10,,0.6785714285714286,0.760308379644764,0.7614035087719297
0.15,456,10,balanced,0.7142857142857142,0.7604558167487229,0.8245614035087719
0.15,456,50,,0.7071428571428573,0.7416097542696007,0.8584795321637426
0.15,456,50,balanced,0.7285714285714286,0.7445864521951477,0.9011695906432748
0.15,456,100,,0.7,0.730814882474729,0.8690058479532163
0.15,456,100,balanced,0.7357142857142855,0.7458299595141701,0.9116959064327486
0.15,456,200,,0.7357142857142858,0.7656291172595521,0.868421052631579
0.15,456,200,balanced,0.7500000000000001,0.7532650103519669,0.9228070175438596
0.15,456,500,,0.7285714285714285,0.7505082538944431,0.8906432748538012
0.15,456,500,balanced,0.7357142857142858,0.7400144927536232,0.9228070175438596
0.15,89,10,,0.7428571428571429,0.794920634920635,0.7757352941176471
0.15,89,10,balanced,0.7142857142857142,0.7625,0.763235294117647
0.15,89,50,,0.7357142857142858,0.7514137165163548,0.8470588235294118
0.15,89,50,balanced,0.7357142857142858,0.7440416549394877,0.8580882352941176
0.15,89,100,,0.7642857142857142,0.7809605001420858,0.8588235294117647
0.15,89,100,balanced,0.75,0.7512047381881815,0.8823529411764705
0.15,89,200,,0.7428571428571429,0.7478089162299688,0.8698529411764705
0.15,89,200,balanced,0.7428571428571429,0.7536004784688994,0.8580882352941176
0.15,89,500,,0.7428571428571429,0.7579348437939769,0.8463235294117647
0.15,89,500,balanced,0.7571428571428571,0.7579116239797354,0.8816176470588235
0.2,42,10,,0.7113960113960114,0.7665359477124183,0.7669117647058823
0.2,42,10,balanced,0.7196581196581195,0.801015406162465,0.7316176470588236
0.2,42,50,,0.7415954415954417,0.7597665732959851,0.8514705882352942
0.2,42,50,balanced,0.7951566951566951,0.8001670843776107,0.9014705882352942
0.2,42,100,,0.725925925925926,0.7541176470588236,0.8272058823529411
0.2,42,100,balanced,0.7264957264957266,0.75,0.8404411764705882
0.2,42,200,,0.7031339031339032,0.7507843137254901,0.7779411764705882
0.2,42,200,balanced,0.7193732193732194,0.7426905499041722,0.8404411764705882
0.2,42,500,,0.7188034188034187,0.7527077497665733,0.8154411764705882
0.2,42,500,balanced,0.7341880341880342,0.76406309892378,0.8279411764705882
0.2,123,10,,0.6968660968660969,0.7366267330730919,0.8205882352941176
0.2,123,10,balanced,0.6512820512820513,0.714795321637427,0.7477941176470588
0.2,123,50,,0.6575498575498575,0.6995543672014259,0.8183823529411764
0.2,123,50,balanced,0.6726495726495727,0.7185714285714285,0.7941176470588236
0.2,123,100,,0.6353276353276354,0.6871078431372549,0.7823529411764706
0.2,123,100,balanced,0.6732193732193732,0.7057940752058399,0.8316176470588236
0.2,123,200,,0.6888888888888889,0.7257983193277311,0.8198529411764707
0.2,123,200,balanced,0.6809116809116809,0.7043669780511885,0.8558823529411764
0.2,123,500,,0.6507122507122507,0.6871238702817649,0.8198529411764707
0.2,123,500,balanced,0.6809116809116809,0.7029551150603781,0.8558823529411764
0.2,456,10,,0.7122507122507123,0.7586507936507936,0.8542483660130719
0.2,456,10,balanced,0.7045584045584046,0.7592731829573935,0.8202614379084968
0.2,456,50,,0.7344729344729345,0.7722818244557375,0.876470588235294
0.2,456,50,balanced,0.6960113960113962,0.7202380952380952,0.9098039215686274
0.2,456,100,,0.7350427350427349,0.7585960949805344,0.8986928104575164
0.2,456,100,balanced,0.6891737891737891,0.7128787878787879,0.9098039215686274
0.2,456,200,,0.7498575498575498,0.7681199045043439,0.9098039215686274
0.2,456,200,balanced,0.7267806267806268,0.7419169960474308,0.9209150326797385
0.2,456,500,,0.7344729344729345,0.7503380486790098,0.9209150326797385
0.2,456,500,balanced,0.7418803418803418,0.7496517974778845,0.9313725490196079
0.2,89,10,,0.7122507122507122,0.7540350877192983,0.7716666666666667
0.2,89,10,balanced,0.6894586894586894,0.7388843904633378,0.7725
0.2,89,50,,0.7045584045584047,0.7310698314413484,0.8108333333333334
0.2,89,50,balanced,0.7427350427350426,0.7636764705882353,0.8491666666666667
0.2,89,100,,0.7353276353276353,0.7504850361197111,0.8491666666666667
0.2,89,100,balanced,0.7498575498575499,0.7553508771929824,0.8741666666666668
0.2,89,200,,0.7735042735042734,0.7662366701066391,0.8991666666666667
0.2,89,200,balanced,0.7501424501424501,0.7480495356037151,0.8866666666666667
0.2,89,500,,0.7735042735042734,0.7671052631578947,0.8991666666666667
0.2,89,500,balanced,0.7581196581196581,0.7461698363555949,0.9116666666666667
0.25,42,10,,0.7163333333333333,0.7891000227842333,0.7566666666666666
0.25,42,10,balanced,0.7066666666666668,0.7640350877192983,0.7808333333333334
0.25,42,50,,0.7476666666666667,0.7823106030536371,0.8458333333333334
0.25,42,50,balanced,0.74,0.7606349206349206,0.8716666666666667
0.25,42,100,,0.7236666666666667,0.7543986663491307,0.8591666666666669
0.25,42,100,balanced,0.74,0.7566414141414141,0.8850000000000001
0.25,42,200,,0.7316666666666667,0.769059829059829,0.8458333333333334
0.25,42,200,balanced,0.7236666666666667,0.7460087719298245,0.8716666666666668
0.25,42,500,,0.7233333333333334,0.7546198830409356,0.8450000000000001
0.25,42,500,balanced,0.7396666666666667,0.7659920634920635,0.8716666666666668
0.25,123,10,,0.6823333333333333,0.7717042606516291,0.7191666666666666
0.25,123,10,balanced,0.6666666666666667,0.7431839402427638,0.7325
0.25,123,50,,0.6746666666666666,0.7245479082321188,0.8083333333333332
0.25,123,50,balanced,0.6913333333333334,0.7273684210526316,0.835
0.25,123,100,,0.6743333333333333,0.7161904761904762,0.8208333333333332
0.25,123,100,balanced,0.6743333333333333,0.7082418613378365,0.8474999999999999
0.25,123,200,,0.6903333333333334,0.7305351614329944,0.8208333333333332
0.25,123,200,balanced,0.6823333333333333,0.7044308632543926,0.8724999999999999
0.25,123,500,,0.658,0.6994117647058824,0.8216666666666667
0.25,123,500,balanced,0.6743333333333333,0.7057963536291709,0.8474999999999999
0.25,456,10,,0.6746666666666667,0.7523976608187134,0.786029411764706
0.25,456,10,balanced,0.675,0.7353874883286649,0.8227941176470587
0.25,456,50,,0.6990000000000001,0.7428978864272981,0.8551470588235294
0.25,456,50,balanced,0.7003333333333334,0.7320855614973262,0.8823529411764707
0.25,456,100,,0.7323333333333333,0.7539512774806892,0.9044117647058822
0.25,456,100,balanced,0.7156666666666667,0.7216108452950559,0.9529411764705882
0.25,456,200,,0.7406666666666666,0.7550031204493447,0.9169117647058822
0.25,456,200,balanced,0.716,0.7256057634204087,0.9411764705882353
0.25,456,500,,0.7323333333333333,0.7481526609673063,0.9161764705882354
0.25,456,500,balanced,0.7326666666666667,0.7393842313293113,0.9411764705882353
0.25,89,10,,0.741,0.7851984126984126,0.7685714285714286
0.25,89,10,balanced,0.6993333333333334,0.758954248366013,0.739047619047619
0.25,89,50,,0.748,0.7737745098039215,0.8219047619047618
0.25,89,50,balanced,0.716,0.7333333333333334,0.8238095238095239
0.25,89,100,,0.7553333333333333,0.7662698412698413,0.8485714285714285
0.25,89,100,balanced,0.732,0.7407017543859649,0.8361904761904763
0.25,89,200,,0.748,0.767892156862745,0.8361904761904763
0.25,89,200,balanced,0.7396666666666667,0.7382672367192491,0.8780952380952382
0.25,89,500,,0.7643333333333333,0.7692638458892329,0.8780952380952382
0.25,89,500,balanced,0.74,0.7429160382101558,0.8780952380952382
0.3,42,10,,0.7043478260869566,0.7708424908424908,0.7685714285714286
0.3,42,10,balanced,0.6695652173913044,0.7393421052631579,0.7704761904761905
0.3,42,50,,0.6956521739130436,0.7328738512949039,0.8380952380952381
0.3,42,50,balanced,0.7043478260869565,0.7375901875901876,0.8647619047619047
0.3,42,100,,0.7217391304347827,0.7580539584254755,0.8514285714285714
0.3,42,100,balanced,0.6956521739130433,0.7257309941520468,0.8514285714285714
0.3,42,200,,0.7217391304347827,0.7537865497076023,0.8514285714285714
0.3,42,200,balanced,0.6869565217391305,0.7181286549707602,0.8514285714285714
0.3,42,500,,0.7130434782608697,0.7495572263993318,0.8514285714285714
0.3,42,500,balanced,0.7130434782608696,0.7410526315789474,0.8647619047619047
0.3,123,10,,0.5826086956521739,0.6711996336996336,0.6914285714285715
0.3,123,10,balanced,0.6347826086956523,0.7086010558069382,0.7447619047619047
0.3,123,50,,0.6434782608695653,0.7020098039215686,0.7847619047619048
0.3,123,50,balanced,0.6695652173913043,0.7172735760971055,0.8123809523809523
0.3,123,100,,0.6695652173913043,0.7064542483660131,0.839047619047619
0.3,123,100,balanced,0.6608695652173913,0.710999066293184,0.8123809523809525
0.3,123,200,,0.6956521739130436,0.7207671138630891,0.8666666666666668
0.3,123,200,balanced,0.6695652173913043,0.6983006535947712,0.8666666666666666
0.3,123,500,,0.6782608695652175,0.7109597523219814,0.8533333333333333
0.3,123,500,balanced,0.6869565217391304,0.7074819401444788,0.8800000000000001
0.3,456,10,,0.6695652173913043,0.7407905982905982,0.8108333333333334
0.3,456,10,balanced,0.7217391304347827,0.7715306365461163,0.8625
0.3,456,50,,0.7130434782608697,0.7626381461675579,0.86
0.3,456,50,balanced,0.7478260869565216,0.7653119429590017,0.9366666666666668
0.3,456,100,,0.7304347826086957,0.7666496901791019,0.8858333333333335
0.3,456,100,balanced,0.7217391304347824,0.7373105441469285,0.9366666666666668
0.3,456,200,,0.7391304347826086,0.7685544520838639,0.8983333333333334
0.3,456,200,balanced,0.7217391304347825,0.7408116883116883,0.925
0.3,456,500,,0.7478260869565218,0.7781132756132756,0.8983333333333334
0.3,456,500,balanced,0.7217391304347827,0.7445021645021646,0.925
0.3,89,10,,0.6695652173913043,0.7147675853558206,0.7461538461538462
0.3,89,10,balanced,0.6521739130434783,0.7171428571428571,0.7175824175824176
0.3,89,50,,0.7130434782608696,0.7292458521870288,0.8076923076923077
0.3,89,50,balanced,0.7043478260869565,0.7133559577677225,0.8351648351648352
0.3,89,100,,0.7217391304347827,0.7221288515406162,0.8670329670329672
0.3,89,100,balanced,0.6956521739130433,0.7033193277310924,0.8362637362637363
0.3,89,200,,0.7304347826086955,0.7299719887955183,0.8670329670329672
0.3,89,200,balanced,0.6956521739130435,0.6955555555555556,0.8659340659340659
0.3,89,500,,0.7304347826086957,0.7299432593550241,0.868131868131868
0.3,89,500,balanced,0.7130434782608696,0.7151113076809672,0.8670329670329672
0.35,42,10,,0.6822510822510822,0.7470494864612511,0.767032967032967
0.35,42,10,balanced,0.6632034632034631,0.7283957219251337,0.7516483516483516
0.35,42,50,,0.7004329004329005,0.7369444444444444,0.8406593406593407
0.35,42,50,balanced,0.729004329004329,0.7537865497076023,0.8703296703296705
0.35,42,100,,0.7017316017316017,0.7342277261781905,0.8417582417582418
0.35,42,100,balanced,0.7294372294372294,0.7508957219251338,0.8703296703296705
0.35,42,200,,0.7294372294372294,0.7610608345902464,0.8549450549450549
0.35,42,200,balanced,0.7203463203463203,0.7380738800243444,0.8846153846153847
0.35,42,500,,0.7290043290043291,0.7601603461897579,0.856043956043956
0.35,42,500,balanced,0.7112554112554113,0.738654970760234,0.8703296703296705
0.35,123,10,,0.6246753246753246,0.6973945335710041,0.7681318681318682
0.35,123,10,balanced,0.5982683982683982,0.6669047619047619,0.7538461538461538
0.35,123,50,,0.6731601731601732,0.7163798920377867,0.8417582417582418
0.35,123,50,balanced,0.654978354978355,0.7033395989974938,0.8131868131868132
0.35,123,100,,0.6826839826839827,0.7357275541795666,0.8263736263736263
0.35,123,100,balanced,0.7017316017316017,0.7404761904761905,0.8417582417582418
0.35,123,200,,0.6826839826839827,0.7163157894736842,0.856043956043956
0.35,123,200,balanced,0.6826839826839827,0.7161624649859945,0.856043956043956
0.35,123,500,,0.6727272727272727,0.7030727554179567,0.8703296703296702
0.35,123,500,balanced,0.7012987012987013,0.727843137254902,0.8703296703296702
0.35,456,10,,0.6354978354978356,0.7240546218487395,0.7714285714285715
0.35,456,10,balanced,0.7212121212121212,0.7718038686459738,0.8666666666666666
0.35,456,50,,0.7017316017316018,0.7429239766081872,0.8800000000000001
0.35,456,50,balanced,0.729004329004329,0.7571035431716547,0.9066666666666666
0.35,456,100,,0.7112554112554113,0.7476470588235294,0.8933333333333333
0.35,456,100,balanced,0.7103896103896103,0.742139662882697,0.8933333333333333
0.35,456,200,,0.7108225108225108,0.7467105263157895,0.8933333333333333
0.35,456,200,balanced,0.7199134199134198,0.7516984864121088,0.8933333333333333
0.35,456,500,,0.7017316017316018,0.7367105263157895,0.8933333333333333
0.35,456,500,balanced,0.7021645021645021,0.7405185758513932,0.8800000000000001
0.35,89,10,,0.6077922077922078,0.675323826500297,0.6397435897435899
0.35,89,10,balanced,0.6748917748917748,0.718939393939394,0.7410256410256411
0.35,89,50,,0.6082251082251082,0.6368024132730015,0.7397435897435898
0.35,89,50,balanced,0.6645021645021644,0.6969331322272498,0.7730769230769231
0.35,89,100,,0.6930735930735931,0.7224673202614379,0.823076923076923
0.35,89,100,balanced,0.6740259740259741,0.6888814616755793,0.8064102564102564
0.35,89,200,,0.7012987012987013,0.7018901196842373,0.8371794871794872
0.35,89,200,balanced,0.6822510822510822,0.6885567863509039,0.8205128205128205
0.35,89,500,,0.6636363636363636,0.676056786350904,0.8038461538461539
0.35,89,500,balanced,0.6731601731601732,0.6803571428571429,0.8205128205128206
0.4,42,10,,0.6363157894736842,0.7242424242424242,0.673076923076923
0.4,42,10,balanced,0.7068421052631579,0.7875,0.7371794871794872
0.4,42,50,,0.7073684210526316,0.7566844919786097,0.803846153846154
0.4,42,50,balanced,0.6968421052631578,0.7112118531623175,0.8666666666666668
0.4,42,100,,0.6878947368421052,0.7287878787878788,0.8051282051282052
0.4,42,100,balanced,0.6778947368421052,0.7093529277739804,0.8179487179487179
0.4,42,200,,0.708421052631579,0.7274402068519716,0.8525641025641028
0.4,42,200,balanced,0.6778947368421052,0.7166666666666667,0.8025641025641026
0.4,42,500,,0.6668421052631579,0.7012066365007541,0.8205128205128205
0.4,42,500,balanced,0.6673684210526316,0.7014652014652014,0.8192307692307692
0.4,123,10,,0.7563157894736843,0.7949550449550449,0.8192307692307693
0.4,123,10,balanced,0.7178947368421053,0.7493589743589744,0.8371794871794871
0.4,123,50,,0.7373684210526317,0.7465977160094808,0.8884615384615385
0.4,123,50,balanced,0.7068421052631579,0.7207142857142858,0.8705128205128204
0.4,123,100,,0.7378947368421052,0.7516117216117216,0.8717948717948719
0.4,123,100,balanced,0.726842105263158,0.7403571428571429,0.8705128205128204
0.4,123,200,,0.768421052631579,0.7742857142857142,0.8871794871794872
0.4,123,200,balanced,0.7478947368421054,0.7475840336134454,0.9025641025641026
0.4,123,500,,0.7378947368421052,0.7432142857142857,0.885897435897436
0.4,123,500,balanced,0.758421052631579,0.7495238095238095,0.9192307692307693
0.4,456,10,,0.6757894736842105,0.7450623885918004,0.8087912087912088
0.4,456,10,balanced,0.6857894736842105,0.7349114868619513,0.8670329670329672
0.4,456,50,,0.6552631578947368,0.7146008403361345,0.8384615384615385
0.4,456,50,balanced,0.6973684210526315,0.7200653594771242,0.9274725274725275
0.4,456,100,,0.6757894736842105,0.7218954248366013,0.868131868131868
0.4,456,100,balanced,0.6873684210526315,0.7218782249742002,0.8989010989010989
0.4,456,200,,0.6968421052631578,0.7352287581699347,0.8835164835164834
0.4,456,200,balanced,0.6978947368421051,0.7248194014447884,0.9142857142857143
0.4,456,500,,0.6868421052631579,0.7211764705882353,0.8978021978021978
0.4,456,500,balanced,0.6978947368421051,0.7195046439628483,0.9285714285714285
0.4,89,10,,0.6768421052631578,0.7155555555555556,0.7166666666666667
0.4,89,10,balanced,0.5668421052631578,0.6229059829059829,0.5727272727272728
0.4,89,50,,0.6768421052631579,0.711111111111111,0.7515151515151515
0.4,89,50,balanced,0.726842105263158,0.741841491841492,0.8045454545454545
0.4,89,100,,0.7073684210526315,0.72985014985015,0.7863636363636364
0.4,89,100,balanced,0.7173684210526317,0.7429037629037629,0.7878787878787878
0.4,89,200,,0.6968421052631578,0.7184615384615384,0.7878787878787878
0.4,89,200,balanced,0.7073684210526316,0.7245054945054945,0.8045454545454545
0.4,89,500,,0.7068421052631579,0.7300000000000001,0.7863636363636364
0.4,89,500,balanced,0.7373684210526316,0.745934065934066,0.8393939393939395
